m.03cfqmy	people.ethnicity.languages_spoken	m.02h40lc
m.0yv3knk	location.mailing_address.citytown	m.04p3c
m.048q9bq	location.location.containedby	m.09c7w0
m.0k8mwvk	people.person.profession	m.059846g
m.0fp_5cj	people.person.nationality	m.09c7w0
m.027mp89	people.person.nationality	m.06mkj
m.09myb4	people.person.profession	m.05snw
m.05zkrj9	people.person.profession	m.02hrh1q
m.06mkj	location.location.contains	m.02z7h62
m.07z1m	location.location.contains	m.04c234z
m.0gbd4m	people.person.profession	m.02hrh1q
m.070vjz	base.activism.activist.area_of_activism	m.0148d
m.0pqfrxm	location.mailing_address.country	m.09c7w0
m.0105xbt5	location.mailing_address.state_province_region	m.01n7q
m.03wbdh	people.person.religion	m.0flw86
m.0ys30gk	people.person.profession	m.02hrh1q
m.011dkd69	music.group_membership.role	m.05148p4
m.06r3mdl	baseball.batting_statistics.team	m.01yjl
m.02drkn	people.person.profession	m.01d_h8
m.01ly5m	location.location.people_born_here	m.083r7t
m.09s9khl	location.mailing_address.state_province_region	m.01n7q
m.0gcr_t	soccer.football_player.position_s	m.02nzb8
m.01q3vs5	music.artist.genre	m.03lty
m.03rk0	media_common.netflix_genre.titles	m.0d7xtl
m.0qgrc8w	people.person.profession	m.01d_h8
m.08ld8t	people.person.profession	m.04s2z
m.0br_7d6	people.person.nationality	m.03rk0
m.0k3p	location.location.people_born_here	m.0wkxrds
m.0k2mfk	film.producer.film	m.0287477
m.07y4fmx	education.education.major_field_of_study	m.062z7
m.0g5r6lx	film.film.country	m.09c7w0
m.0wcrq	location.location.time_zones	m.02fqwt
m.012zh66z	location.mailing_address.state_province_region	m.059rby
m.0fvngg	people.person.profession	m.0cbd2
m.0dhtdsv	location.mailing_address.state_province_region	m.0vmt
m.0dxfb19	people.person.profession	m.02jknp
m.010r5g7b	location.mailing_address.state_province_region	m.01f08r
m.0gjc6h1	location.location.contains	m.04sqj
m.02x2jn0	people.person.nationality	m.09c7w0
m.08547b	location.location.containedby	m.09c7w0
m.04jpl	location.location.people_born_here	m.0bwhcyb
m.04r64p	people.person.profession	m.016fly
m.0f0878	location.location.containedby	m.03rk0
m.02rwq8q	people.person.profession	m.0fj9f
m.0gs0gh	location.location.containedby	m.059g4
m.01z8cl	people.person.place_of_birth	m.01zrs_
m.04f4l0k	people.person.profession	m.0dz3r
m.027446p	common.topic.notable_types	m.01xryvt
m.02x439	people.person.profession	m.02hv44_
m.09gc2t5	people.person.place_of_birth	m.01ly5m
m.0mz69w	common.topic.notable_types	m.0kpv11
m.09c7w0	location.location.contains	m.0r6p_
m.01cr8y	language.human_language.language_family	m.0k0w
m.0nj_28l	music.track_contribution.role	m.0290ngj
m.04j0hml	film.film.genre	m.02822
m.0367jt	book.book_character.appears_in_book	m.014jst
m.09gkb33	people.person.place_of_birth	m.04jpl
g.11b6_gs4kb	film.film.country	m.059z0
m.04jpl	location.location.people_born_here	m.06mcx9
m.0g9t7x7	people.person.nationality	m.09c7w0
m.06pnxs1	baseball.batting_statistics.team	m.0cqt41
m.0clvlwc	location.location.containedby	m.02xry
m.0h56ndd	people.person.place_of_birth	m.0h7x
m.0pbm9qf	people.person.place_of_birth	m.06bnz
m.0_12cnn	people.person.place_of_birth	m.04sqj
m.0g5pr58	music.artist.genre	m.0h08p
m.06c62	location.location.people_born_here	m.0hmz5c6
m.05fjf	location.location.partially_contains	m.02yqb9
m.0ncsf	location.location.contains	m.04b4f33
m.0qgvgj3	people.deceased_person.cause_of_death	m.08q1tg
m.0d0x8	location.location.contains	m.048xj8z
m.06rhj0f	people.person.profession	m.02h664g
m.01jv0s	government.politician.government_positions_held	m.0bvcz1x
m.04q_g	location.location.contains	g.11b6ghlnf5
m.0_lk1_x	people.person.profession	m.01d_h8
m.0vtgpmh	people.person.profession	m.02hrh1q
m.052bw	location.location.people_born_here	m.063_v4b
m.0hpprql	location.mailing_address.state_province_region	m.07z1m
m.0x0_pb5	people.person.profession	m.02hrh1q
m.0sq_l	location.location.containedby	m.03v1s
m.0156q	location.location.people_born_here	g.121j1d2p
m.02jx1	location.location.people_born_here	m.0bw6r8
m.0k4xhps	people.person.profession	m.09jwl
m.02tl9	people.person.profession	m.02hrh1q
m.01ymn7	book.book_character.appears_in_book	m.04t38jr
m.0j27tpt	people.person.profession	m.02hrh1q
m.0nhnl	location.location.time_zones	m.02fqwt
m.0gy17c0	soccer.football_player.position_s	m.02nzb8
m.0y4zhs2	people.person.profession	m.0cbd2
m.0rw82	location.location.time_zones	m.02hcv8
m.09c7w0	location.location.contains	m.04c2ft0
m.0pvzdvj	base.schemastaging.phone_sandbox.service_location	m.07ssc
m.025czc	people.person.nationality	m.02jx1
m.080pfyn	people.person.religion	m.0c8wxp
m.0w7csgz	people.person.nationality	m.09c7w0
m.0dhhxzb	location.mailing_address.state_province_region	m.05kkh
m.0cm9pg5	people.person.profession	m.01d_h8
m.09c7w0	location.location.contains	m.04bctql
m.01pzn5	people.person.nationality	m.02jx1
m.0gdkm97	people.person.profession	m.02hrh1q
m.0b77czq	people.person.profession	m.02hrh1q
m.06gvj8	people.person.nationality	m.0285m87
m.03s0w	location.location.contains	m.0jvhv
m.0t_db5h	organization.organization.geographic_scope	m.02jx1
m.09gjh6g	film.film.genre	m.06n90
m.01344z83	music.track_contribution.role	m.0342h
m.0fq3s_x	people.person.profession	m.018gz8
m.0rxvt	location.location.time_zones	m.02hcv8
m.0cb_t7f	people.deceased_person.place_of_burial	m.0156q
m.010kypr_	music.track_contribution.role	m.0l14md
m.0492nz7	location.location.containedby	m.09c7w0
m.049633s	location.location.containedby	m.04ly1
m.049656q	location.location.containedby	m.09c7w0
m.02q5wh_	soccer.football_player.position_s	m.02nzb8
m.01q8sr8	people.person.profession	m.09l65
m.011nt_3v	people.person.profession	m.09jwl
m.05w3z3m	common.topic.notable_types	m.01xryvt
m.03j24kf	broadcast.artist.content	m.03gfwgf
m.04z46k	people.person.profession	m.02hrh1q
m.0c4jl49	people.person.profession	m.0frz0
m.0j_lt1t	award.award_nomination.award_nominee	m.02f1c
m.03c1b0c	film.film.country	m.07ssc
m.0jqz_m4	people.person.nationality	m.059j2
m.03rk0	location.location.contains	m.0f1fpd
m.0gcmv08	people.person.nationality	m.06bnz
m.02ymyp	location.location.containedby	m.02_286
m.0f_19m	people.deceased_person.cause_of_death	m.0qcr0
m.04ly1	location.location.people_born_here	m.07_12s
m.06rxt_h	baseball.batting_statistics.team	m.05kmnv1
m.0265mn0	people.person.profession	m.016fly
m.07dk22	people.ethnicity.languages_spoken	m.0y1mh
m.0bvc3y9	people.person.place_of_birth	m.0y62n
m.02llzg	time.time_zone.locations_in_this_time_zone	m.0fp6ml
m.03ncld	people.person.profession	m.01xr66
m.07ssc	location.location.contains	m.0br6l6
m.04_7m4n	location.location.containedby	m.071vr
g.11b7_lb8fq	music.track_contribution.role	m.0342h
m.05fkf	location.location.contains	m.03c4sz5
m.06s9n_0	baseball.batting_statistics.season	m.02h7s7l
m.0cgzhz8	people.person.profession	m.01d_h8
m.0sjmntd	music.track_contribution.role	m.026t6
m.0chghy	location.location.people_born_here	m.05b0hl7
m.062s4f	film.producer.film	m.0kv750
m.0ckqt_	people.person.nationality	m.07ssc
m.02p3gw0	location.location.containedby	m.0d0vqn
m.03kygh	common.topic.notable_types	m.01y2hnl
m.05h9w8m	people.person.profession	m.02hrh1q
m.05v8c	location.location.people_born_here	m.02r4wpq
m.02ppfgh	people.person.profession	m.0kyk
m.0gxr7m	people.person.profession	m.0cbd2
m.0w2f3sn	people.person.nationality	m.07f1x
m.09k9qj9	people.person.nationality	m.0345h
m.09c7w0	location.location.contains	m.0w5tn
m.09pvmb	film.film.country	m.06qd3
m.0_tkqvk	people.person.profession	m.01d_h8
m.0cbvdh	film.film.country	m.09c7w0
m.0py7j1r	base.schemastaging.phone_sandbox.service_location	m.09c7w0
m.04vs9	location.location.containedby	m.0dg3n1
m.0279gq1	people.person.nationality	m.05bcl
m.0fcc3q0	music.track_contribution.role	m.018vs
m.0p9v8vj	people.person.profession	m.02hrh1q
m.075m7d	people.person.profession	m.02hrh1q
m.0110p47z	people.person.profession	m.09jwl
g.121hg2j_	soccer.football_player.position_s	m.02nzb8
m.04f89v	visual_art.visual_artist.art_forms	m.05qdh
m.0ftxw	location.location.people_born_here	m.09gmgvr
m.0wqq1l_	people.person.profession	m.05t4q
m.0zbmxny	location.mailing_address.country	m.0d060g
m.017tvq	music.artist.genre	m.05bt6j
m.076z3_7	people.person.profession	m.0d1pc
m.03v0t	location.location.contains	m.0sc2k
m.01snm	location.location.people_born_here	m.0404rb3
m.0wkqjbh	people.person.nationality	m.09c7w0
m.0bdt5sm	people.person.profession	m.02hrh1q
m.0gm0_fg	film.film.genre	m.03npn
m.034d__	location.location.containedby	m.0345h
m.08myh9	people.person.nationality	m.09c7w0
m.043s74p	people.person.nationality	m.03rjj
m.03nnd3b	people.person.nationality	m.05qhw
m.0gyk6w	people.person.children	m.04fyzpn
m.06n4vw	people.person.nationality	m.09c7w0
m.02qh13_	common.topic.notable_types	m.01xryvt
m.0jkwhzg	people.deceased_person.place_of_burial	m.0156q
m.04y5ksr	film.film.genre	m.02822
m.09c7w0	location.location.contains	m.048x15q
m.02_286	location.location.people_born_here	m.02pnzl_
m.0bhw6w	people.person.nationality	m.0d060g
m.0264gp7	people.person.nationality	m.06f32
m.01whz6_	people.person.profession	m.09l65
m.0101gsq1	people.person.nationality	m.09c7w0
m.0f_67r	people.person.profession	m.02hrh1q
m.03rm4x	people.person.place_of_birth	m.05l5n
m.0gcxc0j	people.person.nationality	m.09c7w0
m.0f2rq	location.location.contains	m.0wfjxj5
m.01w26dm	music.artist.genre	m.064t9
m.03h579z	people.deceased_person.cause_of_death	m.012hw
m.095lfq	location.location.containedby	m.029shj
m.03rk0	location.location.people_born_here	m.0_xddgm
m.05jbn	location.location.people_born_here	m.0yg9989
m.0bvc3zh	people.person.profession	m.01c72t
m.0gktkpy	film.film.genre	m.02822
m.0vb3zll	people.person.profession	m.09l65
m.0khmgxw	olympics.olympic_athlete_affiliation.country	m.0163v
m.027vvbs	common.topic.notable_types	m.01xryvt
m.04vxxd8	influence.influence_node.influenced_by	m.07c37
m.0fjywp	film.film.genre	m.02822
m.04t36	media_common.netflix_genre.titles	m.080b54x
m.0qf9wxz	base.schemastaging.phone_sandbox.service_location	m.06mtq
m.01sl83	people.person.place_of_birth	m.0qpn9
m.04c2st_	location.location.containedby	m.0mnz0
m.0824r	location.location.contains	m.011by3
m.0gqnk1	location.location.containedby	m.05fjf
m.04qgb0x	basketball.basketball_player_stats.season	m.080b2d
m.04ky1x9	people.person.place_of_birth	m.02_286
m.0zmbgmy	sports.sports_team_roster.team	m.0dt889
m.01rhrd	location.location.people_born_here	m.026l8sq
m.0b8s9z	people.person.place_of_birth	m.0824r
m.067wjqn	book.written_work.author	m.014635
m.0n9klbl	people.person.nationality	m.03rk0
m.0d7dgjw	film.film.genre	m.02822
m.0cxmklp	location.location.containedby	m.07ssc
m.0zg2hzx	people.person.profession	m.0dgd_
m.0fbt6p	people.person.profession	m.020xn5
m.011rx3lf	music.track_contribution.role	m.0290ngj
m.02rly40	people.person.nationality	m.06bnz
m.02m77	location.location.people_born_here	m.01lwv7
m.0_581	location.location.containedby	m.05tbn
g.11b6gg3rf8	location.location.containedby	m.04q_g
m.0c5d73y	people.person.profession	m.0n1h
g.120x5dhs	people.person.nationality	m.06mzp
m.0gfq50w	film.film.genre	m.02822
m.06qndzt	baseball.batting_statistics.season	m.02h7s1h
m.04bqfxb	location.location.time_zones	m.02hcv8
m.03chkmm	language.human_language.main_country	m.05cgv
m.02llzg	time.time_zone.locations_in_this_time_zone	m.0gjfj9
m.027s199	film.person_or_entity_appearing_in_film.films	m.0w1s7zj
m.07ylj	location.location.partially_contains	m.07j_cm
m.09c7w0	location.location.contains	m.03nn935
m.05k7sb	location.location.contains	m.0ff2ym
m.050l8	location.location.contains	m.03mcq3p
m.09rzkmy	location.mailing_address.state_province_region	m.07b_l
m.05gk1c	people.person.profession	m.03hz6vv
m.07_44d8	olympics.olympic_medal_honor.country	m.06qd3
m.0ff8ph	people.person.nationality	m.0f8l9c
m.05qx1	location.location.contains	m.03qnr73
m.0gbzs45	people.person.nationality	m.05v8c
m.0cp61b	common.topic.notable_types	m.01xryvt
m.03cj7h2	people.person.profession	m.0fj9f
m.0f2v0	location.location.people_born_here	m.0zfylm1
m.076ymv5	music.artist.genre	m.064t9
m.09b8b_	people.person.profession	m.09l65
m.04jpl	location.location.people_born_here	m.0gc40vs
m.02rpzn	film.film.country	m.09c7w0
m.02llzg	time.time_zone.locations_in_this_time_zone	m.0h3mblk
m.09k20v	location.location.containedby	m.0m75g
m.0crrgg9	film.film.country	m.0345h
m.0b0k5r_	film.film.country	m.09c7w0
m.0h1z3p	military.military_person.participated_in_conflicts	m.081pw
m.0117j0b9	music.track_contribution.role	m.0342h
m.0k89fk	people.person.profession	m.09l65
m.0b5j5s	location.location.containedby	m.02k54
m.0fy5rgm	film.film.country	m.0jgd
m.0vwx671	people.person.profession	m.0dxtg
m.06qd3	location.location.people_born_here	m.04g2dsd
m.01371ycg	people.person.nationality	m.09c7w0
m.059_w	book.book_subject.works	m.03cvx9v
m.07xtsz	people.person.profession	m.0fj9f
m.02cft	location.location.people_born_here	m.01jty2
m.0yj5mc2	film.film.country	m.03shp
m.0271vkq	people.person.nationality	m.09c7w0
m.0hzchyr	people.person.place_of_birth	m.02_286
m.03crr_v	people.person.profession	m.0mn6
m.02695m2	people.person.nationality	m.09c7w0
m.0hpfdh7	people.person.profession	m.015h31
g.11b6cgl8ry	film.film.country	m.0345h
m.0pd9n6z	people.person.profession	m.02hrh1q
m.0d3373	people.person.profession	m.0mn6
m.02w9q2b	people.deceased_person.cause_of_death	m.07jwr
m.0jt0wf	people.person.place_of_birth	m.030qb3t
m.0275ghp	people.person.profession	m.012t_z
m.09c7w0	location.location.contains	m.048pv2l
m.01hvy0	symbols.name_source.namesakes	m.0p0jt
m.02kqxt	people.person.profession	m.02jknp
m.0c04l6j	people.person.nationality	m.0f8l9c
m.0hzlz	location.location.contains	m.08fn22
m.04cv6n1	people.person.place_of_birth	m.0g284
m.06qt673	people.person.place_of_birth	m.0cr3d
m.03c0wtp	soccer.football_player.position_s	m.02nzb8
m.0kn75c0	location.mailing_address.state_province_region	m.07b_l
m.063z18b	people.person.place_of_birth	m.02jx1
m.0_g01_6	people.person.profession	m.016z4k
m.0488mcc	location.location.containedby	m.0vmt
m.01c1px	film.producer.film	m.051_yp1
m.02hczc	time.time_zone.locations_in_this_time_zone	m.03c4hpl
m.063ylnk	people.person.nationality	m.07f1x
m.0c5w8s	location.location.containedby	m.0f8l9c
m.02llzg	time.time_zone.locations_in_this_time_zone	m.0gr465
m.05h504l	people.person.nationality	m.0345h
m.012h1259	music.track_contribution.role	m.0290ngj
m.0fn9j4	people.person.profession	m.02xhgwq
m.02ptcfk	people.person.profession	m.0cbd2
m.0wg906w	location.partial_containment_relationship.partially_contains	m.04ykz
m.03v0t	location.location.contains	m.02jdwl
m.047ps08	location.location.containedby	m.0824r
m.0h5n0lh	people.person.profession	m.0dxtg
m.011dt8ml	music.track_contribution.role	m.026t6
m.0492x_n	location.location.containedby	m.09c7w0
m.0d075m	government.political_party.politicians_in_this_party	m.03ly5gk
m.0_0105b	location.mailing_address.country	m.09c7w0
m.0pqlndy	location.mailing_address.state_province_region	m.059rby
m.0cnp9k6	location.mailing_address.citytown	m.0c_m3
m.049c06p	location.location.containedby	m.04rrd
m.0clvw74	location.location.containedby	m.07b_l
m.09rjxw_	government.government_position_held.district_represented	m.05k7sb
m.0_hcqq_	olympics.olympic_athlete_affiliation.country	m.0d0vqn
m.06p5hl9	baseball.batting_statistics.season	m.02h7s57
m.05cgv	location.location.people_born_here	m.0kt4pr
m.027mcp	people.person.profession	m.05snw
m.03mbpts	symbols.namesake.named_after	m.03414h
m.04sqj	location.location.people_born_here	m.0v_b41s
m.02dhnr	location.location.events	m.0b6l3vj
m.08l1h4	people.person.profession	m.0fj9f
m.06zpvfg	people.person.place_of_birth	m.04jpl
m.08jc9q	people.person.place_of_birth	m.0fvzg
m.06j495	people.person.profession	m.0fj9f
m.08rxmc	people.person.profession	m.0mn6
m.03mvm	people.person.nationality	m.09c7w0
m.06mxs	location.location.contains	m.09rcs7
m.0w_t_n0	film.film.country	m.05qhw
m.07ssc	media_common.netflix_genre.titles	m.0dgrg5y
m.026ckvg	people.person.nationality	m.09c7w0
m.0h3lwt0	people.person.nationality	m.09c7w0
m.0k3bgk	people.person.profession	m.0dxtg
m.05mph	location.location.contains	m.0fgwqm
m.02wcwyc	education.educational_institution.colors	m.083jv
m.0vy0r8l	people.person.profession	m.02hrh1q
m.011ffr9l	people.person.profession	m.09jwl
m.05vqnh3	book.author.works_written	m.06nv4z2
m.024_vw	people.person.ethnicity	m.0x67
m.0pd3nlc	people.person.profession	m.0dxtg
m.0zn5c1c	award.award_nomination.award_nominee	m.02114t
m.0myfsw	common.topic.notable_types	m.0kpv11
m.09ndt9	people.person.profession	m.01d_h8
m.03f2pwb	music.artist.genre	m.016clz
m.027mkz2	people.person.profession	m.03gjzk
m.082db	music.artist.track	m.0qpz30
m.0hzmk9l	people.deceased_person.place_of_death	m.05qtj
m.027rn	location.location.people_born_here	m.0_kvm4h
m.04bdbk9	location.location.containedby	m.059rby
m.01342zsl	music.track_contribution.role	m.0l14j_
m.0crrsng	film.film.country	m.0f8l9c
m.06_1y04	location.location.containedby	m.0gyh
m.02654jl	location.location.containedby	m.04gqr
m.09sblbc	location.mailing_address.citytown	m.0d35y
m.0gch62g	people.person.profession	m.02hrh1q
m.0gc5bdk	people.person.profession	m.02hrh1q
m.05q6gxs	film.film.genre	m.01hmnh
m.05fkf	location.location.contains	m.04b6jjb
m.011snqzf	film.film.genre	m.02822
m.0zbs_4y	people.person.nationality	m.06qd3
m.0rs_jqc	music.track_contribution.role	m.0290ngj
g.12345hmm	people.person.profession	m.0dgd_
m.09c7w0	location.location.contains	m.0r6w7
m.0clhmm	location.location.containedby	m.07371
m.0y9gl46	people.person.place_of_birth	m.0fhzy
m.04c7bhp	location.location.containedby	m.081mh
m.04flfcf	people.person.nationality	m.09c7w0
g.11b6sp16jg	people.person.nationality	m.0f8l9c
m.0kr3dj0	base.schemastaging.athlete_salary.team	m.01y49
m.01hmnh	media_common.netflix_genre.titles	m.034xx
m.0fpp81t	people.person.place_of_birth	m.07z1m
m.05znqys	people.person.profession	m.03jgz
m.04wf6x	common.topic.notable_types	m.01xryvt
m.04wgh	location.location.people_born_here	m.0h648tv
m.0dc4vk	people.person.religion	m.0c8wxp
m.02llzg	time.time_zone.locations_in_this_time_zone	m.0fg2d4
m.027sqb5	people.deceased_person.place_of_burial	m.0dclg
m.011d8_wv	people.person.profession	m.02jknp
m.026s9h5	location.location.containedby	m.077qn
m.04093	book.author.book_editions_published	m.04v003p
m.0jt2brp	film.film.country	m.09c7w0
m.0cs2t95	film.film.country	m.07ssc
m.02jx1	location.location.people_born_here	m.0n3j3z2
m.012__2xj	music.track_contribution.role	m.0290ngj
m.0j8q0tg	people.person.profession	m.0dxtg
m.0gby9xh	people.deceased_person.cause_of_death	m.0gk4g
m.09kr3f2	baseball.lifetime_batting_statistics.ending_season	m.027pwzc
m.0x185b6	people.person.profession	m.09l65
m.0zlx2vf	music.composition.composer	m.082db
m.0c6zt6z	people.person.profession	m.0dxtg
m.048qtpj	location.location.containedby	m.01x73
m.0kvhdb2	people.person.profession	m.012t_z
m.0gwqfq	people.person.profession	m.0dxtg
m.0b9xqk	people.person.nationality	m.02jx1
m.011c0t62	location.mailing_address.citytown	m.04jpl
